title,type,portal_title,parent_and_id_1,parent_and_id_2,parent_and_id_3,parent_and_id_4,url,begin,rs,associated_rs,wikidata,hosting,technology,api,api_list_children,dcat_ap_de,last_check
Bundesministerium für Wirtschaft und Klimaschutz,federal,Bundesministerium für Wirtschaft und Klimaschutz,http://dcat-ap.de/def/contributors/bundesministeriumFuerWirtschaftUndKlimaschutz,,,,,,,,Q488589,,,,,,
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,federal,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,http://dcat-ap.de/def/contributors/bundesministeriumFuerWirtschaftlicheZusammenarbeitUndEntwicklung,,,,,,,,Q684357,,,,,,
Bundesministerium für Wohnen， Stadtentwicklung und Bauwesen,federal,Bundesministerium für Wohnen， Stadtentwicklung und Bauwesen,geoportal.de|BundesministeriumfrWohnenStadtentwicklungundBauwesen,,,,,,,,Q110021824,,,,,,2023-08-17
Bundesnetzagentur,federalAgency,Bundesnetzagentur,opendata.schleswig-holstein.de|bundesnetzagentur,mcloud.de|OpenDataSchleswigHolsteinBundesnetzagentur,geoportal.de|BundesnetzagenturBNetzA,,,,,,Q269138,,,,,,2023-07-17
Bundessortenamt,federalAgency,Bundessortenamt,http://dcat-ap.de/def/contributors/bundessortenamt,,,,,,,,Q1006713,,,,,,
Bundesstelle für Eisenbahnunfalluntersuchung,federalAgency,Bundesstelle für Eisenbahnunfalluntersuchung (BEU),mcloud.de|BundesstellefrEisenbahnunfalluntersuchungBEU,,,,,,,,Q1311374,,,,,,2023-08-17
Bundesstelle für Flugunfalluntersuchung,federalAgency,Bundesstelle für Flugunfalluntersuchung BFU,mcloud.de|BundesstellefrFlugunfalluntersuchungBFU,,,,,,,,Q315221,,,,,,2023-08-17
Bundesstelle für Seeunfalluntersuchung,federalAgency,Bundesstelle für Seeunfalluntersuchung (BSU),mcloud.de|BundesstellefrSeeunfalluntersuchungBSU,,,,,,,,Q1006743,,,,,,2023-08-17
Bundesverwaltungsamt,federalAgency,Bundesverwaltungsamt,http://dcat-ap.de/def/contributors/bundesverwaltungsamt,,,,,,,,Q1009218,,,,,,
Bundeszentralamt für Steuern,federalAgency,Bundeszentralamt für Steuern,http://dcat-ap.de/def/contributors/bundeszentralamtFuerSteuern,,,,,,,,Q1009314,,,,,,
Burgbrohl,municipality,Ortsgemeinde Burgbrohl,daten.rlp.de|ortsgemeinde_burgbrohl,,,,https://daten.rlp.de/organization/og_burgbrohl,,071315004202,,Q563764,,,,,,2023-05-21
Buttstädt,municipality,Landgemeinde Buttstädt,geoportal.de|LandgemeindeButtstdt,,,,,,160680063063,,Q520037,,,,,,2023-09-09
Bönen,municipality,Gemeinde Bönen,geoportal.de|GemeindeBnen,,,,https://www.o-sp.de/boenen/opendata.php,,059780008008,,Q10938,,,,,,2023-05-21
Büchen,collectiveMunicipality,Amt Büchen,opendata.schleswig-holstein.de|amt-buechen,geoportal.de|AmtBchen,,,,,010535318,,Q479088,,,,,,2023-09-09
Büchen,municipality,Gemeinde Büchen,opendata.schleswig-holstein.de|buechen,geoportal.de|GemeindeBchen,,,,,010535318020,,Q631683,,,,,,2023-09-09
